UID,abstract
Q2-16,"GPT-3.5/4 や LLaMA などの大規模言語モデル（Large Language Models, LLM）は、自然言語処理における様々なタスクの性能を大きく発展させた．しかし，生成テキストに誤情報を含む「幻覚」をはじめとした品質の低い出力が依然として存在するため，特に医療や金融といった確実性が重要な領域での活用には課題が残されている．本研究では，生成テキストの品質向上を目指す復号手法が，質問応答と要約タスクにおいて大規模言語モデルの不確実性推定性能に与える影響を調査した．実験により，貪欲探索やビーム探索のようなシンプルな復号手法が，不確実性推定性能の観点で優れていることが判明した．"
D10-3,質問応答タスクにおいて、大規模言語モデル(LLM)の知識を補うために検索拡張生成(RAG)がよく使われるが、Retriever により得られた複数の異なるコンテキストを活用する方法に課題がある。一般的にはコンテキストを逐次的に入力しながら前の答えを書き直すかどうかを LLM 自身に判定させる(逐次 RAG)。一方で fusion-in-decoder と呼ばれる方法では得られたコンテキストをすべて結合してデコーダーに入力し、デコーダーに回答を生成させる。ここでは LLM を並列に用いて質問応答を行う方法(fusion-in-LLM)を提案し、AI 王を用いたクイズのための質問応答タスクの実験により、逐次 RAGよりも fusion-in-LLM のほうが質問応答タスクに回答する性能が高いことを示す。
D8-3,本研究では，人とロボットのインタラクションにおいて生じる異常を自動で検出するモデルを構築することを目的とし，データセットの作成および異常検出モデルの構築を行った．具体的には，人とロボットのインタラクションに問題が生じた際に人間が介入する複数人同時対話の枠組みにおいて収集されたインタラクション映像に対して，正常か異常かを人手でアノテーションすることでデータセットを作成した．そして，作成したデータセットを用いて分類モデルを学習することで異常検出モデルを構築した．さらに，複数人同時対話の枠組みを検証する実証実験を実施し，モデルの検出結果をアラートとして提示することがオペレータの介入に有用であることを確認した．
Q5-23,入力文の意味を保持したまま否定的な感情を肯定的な感情へ変換するポジティブテキストリフレーミング(PTR)タスクは，大規模言語モデルの進展により広く研究されている．PTR タスクでは，事前学習済のモデルを利用し，対象データに併せてファインチューニングする手法が多く提案されている．しかし，PTR タスクにおけるファインチューニングでは，ソース文とターゲット文は同義であり，ソース文は否定を，ターゲット文は肯定を表す大量のパラレルデータが必要であることから，データ不足が問題となることが多い．本研究は，データ拡張手法により生成したパラレルデータを用いることにより，PTR の精度向上を目指す．
P2-9,トークナイザは単語を複数のサブワードに分割することがあるが，その分割が言語的に意味のあるものになるとは限らない．推論の段階仮説（Stages ofinference hypothesis）では，言語モデルの序盤層はこうしたサブワードトークン列をより意味のある表現に変換(Detokenize)するとされている．本研究では，従来のプロービングや因果介入などの経験的手法に依存せず，Detokenization をモデルの重みに基づく解析によって観測できることを示す．具体的には，GPT-2 の第 1 層の注意機構を解析的に分解し，トークンタイプに由来する寄与とトークンの位置に由来する項の寄与とを切り分けた分析を行い，近いトークンや頻出 Bigram への注意の偏りを明らかにする1）．
Q1-3,本研究では、日本語道徳理解度評価用データセット JETHICS を提案する。JETHICS は、英語の既存データセットである ETHICS の構築方法を踏襲し作成されており、正義、功利主義、義務論、徳倫理、常識道徳の五つのカテゴリから構成され、約 7.8 万件のデータが含まれる。常識道徳を除く各カテゴリは全て規範倫理学・政治哲学の理論や概念を参考にして作成されている。公開されている大規模言語モデル(Large Languge Model: LLM)および商用モデルとして GPT-4o を対象として評価実験を行ったところ、GPT-4o であっても平均評価値が約 0.7、平均評価値が最も高い公開 LLM では約 0.5 となり、既存のLLM には改善の余地があることが示された。
E5-6,本研究は，エネルギー関連のコモディティ先物市場におけるベージュブック情報の影響を分析する．ベージュブックは，地域経済の景況感や多様なトピックを含むテキスト情報を持つ．ベージュブックが様々な資産に影響を与えることが実証されているが，本研究では，まず，ベージュブックの発表が市場に影響を与えるかを分析する．次に，ベージュブックのどのセンチメントやトピックが影響を与えるかを検証する．結果，一部のエネルギー関連のコモディティがベージュブックの情報に特に敏感に反応することが示された．
C6-5,"Text simpliﬁcation is widely believed to enhancecomprehension for non-native readers, and has, there-fore, been the focus of extensive research. However,conventional text simpliﬁcation often involves remov-ing a considerable amount of complex content, whichmay reduce valuable information and potentially limitopportunities to engage with challenging concepts. Inthis work, we speciﬁcally address the needs of lan-guage learners by focusing on elaborative text simpli-ﬁcation, a process involving content addition, such asproviding speciﬁc explanations and clariﬁcations thatcould make a text comprehensible within its context.We introduce a novel data-driven approach for guidedelaboration generation, demonstrating that explicitlyspecifying elaboration targets leads to improved per-formance."
P2-13,近年の自然言語処理技術の発展に伴い，大規模言語モデル(LLM)は様々な言語を扱うことが可能となっている．一方でこれらのモデルを用いた推論・生成では，英語で指示を与える際に，他の言語で指示を与える場合よりも性能が高くなる現象が確認されている．本研究では，誤差の大小の解釈が容易な「数」に着目したタスク設定を行い，指示言語によって生じる LLM の性能差のより精緻な検証を試みた．結果として指示言語の特徴により生成結果の誤差の生じ方に差が生じ，言語的特徴が性能に影響を及ぼしていることの示唆を得た．
B9-2,70 万語超を収録した大規模医療用語辞書 JMED-DICT の構築方法およびメンテナンスについて報告する．JMED-DICT は，LLM をはじめとして計算機によって利用されることを想定した，医療用語間の対応関係を保持する辞書である．本稿では，本辞書の仕様，データ構築の手法，メンテナンス方法を紹介する．また，メンテナンスの効率化のために開発した各種ツールおよび，本辞書を利用した応用例である API についても併せて述べる．
