UID,title,authors,keywords,sessions
A1-1,LLMのアテンションヘッドに着目したジェイルブレイク攻撃の分析と防御手法の提案,新井雅稀|芝原俊樹|千葉大紀|秋山満昭|内田真人,,A1:NLPモデルの評価・安全性・信頼性(1)
A1-2,Decoding the Mind of Large Language Models: A Quantitative Analysis of Thought Processes and Biases,廣瀬万響|内田真人,,A1:NLPモデルの評価・安全性・信頼性(1)
A1-3,有害性評価と巻き戻しによる LLM の有害コンテンツ生成回避,山下智也|岡佑依|山中友貴|山田真徳,,A1:NLPモデルの評価・安全性・信頼性(1)
A1-4,大規模言語モデルによる自己説明の忠実性は改善するか？,土井智暉|磯沼大|谷中瞳,,A1:NLPモデルの評価・安全性・信頼性(1)
A1-5,検索拡張生成が信頼度に及ぼす影響：医療分野における分析,尾崎慎太郎|加藤優汰|馮思遠|富田雅代|林和樹|小原涼馬|小山田昌史|林克彦|上垣外英剛|渡辺太郎,,A1:NLPモデルの評価・安全性・信頼性(1)
A1-6,手動設計の敵対的プロンプト手法の体系的分類,佐々木佑|関谷勇司,,A1:NLPモデルの評価・安全性・信頼性(1)
B1-1,自然言語における冪則と統語構造の関係の再考,中石海|吉田遼|梶川康平|福島孝治|大関洋平,,B1:計算・形式言語学(1)
B1-2,自然言語推論への応用を志向したセマンティックパージングの性能評価,船蔵颯|峯島宏次,,B1:計算・形式言語学(1)
B1-3,CCG 統語解析器 lightblue と定理証明器 wani によるJSeM Verbs データセットの自動推論,松原舞|富田朝|戸次大介,,B1:計算・形式言語学(1)
B1-4,一般化交差効果に対する型理論的アプローチ,松岡大樹|戸次大介|谷中瞳,,B1:計算・形式言語学(1)
B1-5,日本語話し言葉における形態素の出現数に対する統計的不定性の評価,田窪洋介|浅原正幸|山崎誠,,B1:計算・形式言語学(1)
B1-6,証明ステップの逆形式化とステップ間の構造解析を通じた形式証明の自然言語翻訳,服部清志|松崎拓也|藤原誠,,B1:計算・形式言語学(1)
C1-1,Toward Argument Structure Parsing in German: A Rule-Based Approach with Linguistic Annotations,HiroyukiMiyashita|JulianMichaelStawecki,,C1:言語資源・アノテーションと評価
C1-2,日本語創造性ベンチマークの構築,福田創|小川隼斗|堀尾海斗|河原大輔|柴田知秀,,C1:言語資源・アノテーションと評価
C1-3,The KISTEC: 日本の大学生の発話データに基づく英語学習者話し言葉コーパスの構築,神澤克徳|瀬戸口彩花|田中悠介|近大志|小林雄一郎|光永悠彦|森真幸|李在鎬,,C1:言語資源・アノテーションと評価
C1-4,SNSからの重要意見抽出のためのデータセット構築及びLLMによる分類検証,矢口一晟|櫻井恵里子|櫻井義尚,,C1:言語資源・アノテーションと評価
C1-5,Swallowコーパスv2: 教育的な日本語ウェブコーパスの構築,服部翔|岡崎直観|水木栄|藤井一喜|中村泰士|大井聖也|塩谷泰平|齋藤幸史郎|YoumiMa|前田航希|岡本拓己|石田茂樹|横田理央|高村大也,,C1:言語資源・アノテーションと評価
C1-6,『日本経済新聞記事オープンコーパス』と『日本語話し言葉コーパス』語義と読みの対応表の作成,大井恵奈|古宮嘉那子|柏野和佳子|浅原正幸,,C1:言語資源・アノテーションと評価
D1-1,ガウス過程による埋め込み点集合の時間遷移のモデル化,相田太一|小町守|小木曽智信|高村大也|持橋大地,,D1:機械学習
D1-2,Transformerデコーダモデルを利用した日本語意味役割において，特徴量抽出位置およびAttention Maskの形状が与える影響,曽和晃太郎|竹内孔一,,D1:機械学習
D1-3,Enhancing Fake News Detection through Consistency Contrastive Learning with MLP-Mixer,ShaodongCui|WenMa|HiroyukiShinnou,,D1:機械学習
D1-4,ベイズ教師なし文境界認識,内海慶|持橋大地,,D1:機械学習
D1-5,テキストの埋め込み表現に基づくデータ増強を用いた X（旧 Twitter）における日本語の皮肉検出,中井紫音|宮本友樹|内海彰,,D1:機械学習
D1-6,大規模言語モデルに対するチューニング手法の調査：内部のアクセス性に基づく分類と比較,中島京太郎|金輝燦|平澤寅庄|榎本大晟|陳宙斯|小町守,,D1:機械学習
E1-1,クレオールは計量的に峻別できるか？,川崎義史|永田亮|高村大也|大谷直輝,,E1:テーマセッション6: 人文学と言語処理(1)
E1-2,対象言語・対象単語を選ばない汎用的な文法化度の定量化手法,永田亮|持橋大地|井戸美里|窪田悠介|高村大也|川崎義史|大谷直輝,,E1:テーマセッション6: 人文学と言語処理(1)
E1-3,文書筆記過程の分析に関わる墨跡の濃淡変化箇所推定手法の性能評価,ゴーチュイリン|中尾泰士,,E1:テーマセッション6: 人文学と言語処理(1)
E1-4,大規模言語モデルを用いた発掘調査報告書からの考古学情報抽出,山本湧大|武内樹治|大内啓樹|高田祐一,,E1:テーマセッション6: 人文学と言語処理(1)
E1-5,近世・近代・現代日本語テキストに対する場所参照表現抽出,片山歩希|東山翔平|大内啓樹|坂井優介|竹内綾乃|坂東諒|橋本雄太|小木曽智信|渡辺太郎,,E1:テーマセッション6: 人文学と言語処理(1)
E1-6,スタイロメトリによるコプト語文献の著者帰属の再検討,宮川創|Eliese-SophiaLincke|HeikeBehlmer,,E1:テーマセッション6: 人文学と言語処理(1)
P1-1,訳出の同時性に特化した評価データを用いた同時音声翻訳モデルの評価と分析,蒔苗茉那|坂井優介|上垣外英剛|渡辺太郎,,P1:ポスター
P1-2,大規模反応データベースを用いた文字列化した化学反応の基盤モデル構築,佐川達也|小島諒介,,P1:ポスター
P1-3,情報抽出による質の高い新規用途アイデアの獲得,谷口友紀|高橋拓誠|大熊智子,,P1:ポスター
P1-4,大規模言語モデルを用いた電子カルテのSOAP作成支援システムの開発,斉藤翼|山中稜斗|北岡教英,,P1:ポスター
P1-5,大規模言語モデルの非対称的意思決定特性：プロスペクト理論要素の実証分析,吉川克正|大萩雅也|高山隼矢,,P1:ポスター
P1-6,BERTを用いた誤訳検出とLLMを用いた誤訳訂正による特許翻訳の自動後編集,武馬光星|西村柾人|宇津呂武仁|永田昌明,,P1:ポスター
P1-7,テキスト生成における最小ベイズリスク復号の理論的な理解に向けて,市原有生希|陣内佑|蟻生開人|森村哲郎|内部英治,,P1:ポスター
P1-8,Domain-Aware Adaptation for Unsupervised Machine Translation,YouyuanLin|RuiWang|ChenhuiChu,,P1:ポスター
P1-9,JParaCrawl Chinese v2.0: クラウドソーシングを用いた日中対訳コーパスの構築,永田昌明|帖佐克己|安田宜仁,,P1:ポスター
P1-10,Towards Modular Fine-tuning of LLM-based Multilingual Neural Machine Translation,ZheCao|YusukeOda|AkikoAizawa|TaroWatanabe,,P1:ポスター
P1-11,順送り訳データに基づく英日同時機械翻訳の評価,土肥康輔|胡尤佳|蒔苗茉那|須藤克仁|中村哲|渡辺太郎,,P1:ポスター
P1-12,Towards Scene Text Translation for Complex Writing Systems,HourKaing|宋海越|丁塵辰|毛剣楠|田中英輝|内山将夫,,P1:ポスター
P1-13,翻訳と言い換え ''（ソース）入力文:（ターゲット）入力文''の学習の有効性,村上仁一,,P1:ポスター
P1-14,Adapting Multilingual Models for Specialized Translation through Mixed Fine-tuning,LiyanWang|HaotongWang|YvesLepage,,P1:ポスター
P1-15,フィールドワークデータによるジンポー語機械翻訳,田口智大|倉部慶太|坂井優介|RitaSengMaiNbanpa,,P1:ポスター
P1-16,BART 文章校正モデルにおけるコピー機構の有用性の検証,北岡佑一|真嘉比愛,,P1:ポスター
P1-17,複数のLLMを活用した機械翻訳のための協力デコーディング,白井尚登|衣川和尭|伊藤均|美野秀弥|河合吉彦,,P1:ポスター
P1-18,mBART for Supervised Gloss-Free Sign Language Translation: Integrating RGB and Facial Keypoint Images,毛剣楠|丁塵辰|KaingHour|田中英輝|内山将夫|松本忠博,,P1:ポスター
P1-19,ニューラルかな漢字変換システム Zenzai,三輪敬太|高橋直希,,P1:ポスター
P1-20,低資源言語のニュース機械翻訳のためのLLM を用いた合成対訳データの生成,伊藤均|白井尚登|衣川和尭|美野秀弥|河合吉彦,,P1:ポスター
P1-21,対訳データを用いた大規模言語モデルの継続事前訓練による特許請求項翻訳,浅見遥斗|近藤海夏斗|宇津呂武仁|永田昌明,,P1:ポスター
P1-22,AoGu: A Japanese-English literary parallel corpus from Aozora Bunko and Project Gutenberg,GuanyuOuyang|XiaotianWang|TakehitoUtsuro|MasaakiNagata,,P1:ポスター
P1-23,修辞構造に基づく分割統治型LLM翻訳,田中邦朋|帖佐克己|平尾努|笹野遼平,,P1:ポスター
P1-24,"Word order of subject, object, oblique, and verb",江原暉将,,P1:ポスター
Q1-1,書き手の孤独感を予測できるか？,藤川直也|伊藤和浩|若宮翔子|荒牧英治,,Q1:ポスター
Q1-2,BCCWJ-WLSP-LUW:『現代日本語書き言葉均衡コーパス』に対する長単位語義情報アノテーション,加藤祥|浅原正幸,,Q1:ポスター
